original_file,reusable_template,status,notes
FileLineNumberUtility.sh,scripts/10_utilities/view_file_with_line_numbers.sh,cleaned,Converted hard-coded less command into positional-argument utility.
Gunzipper (1).sh,scripts/10_utilities/gunzip_matching_files.sh,cleaned,Generalized directory and glob.
HOMER_AnnotatePeak.sh,scripts/08_motif_and_annotation/homer_annotate_peaks.sh,cleaned,Paths/config generalized; removed conda init from batch job.
HOMER_BedGraphUCSC.sh,scripts/08_motif_and_annotation/homer_make_ucsc_file.sh,cleaned,Tag directory parameterized; removed conda init.
HOMER_FindMotifOccurrence.sh,scripts/08_motif_and_annotation/homer_find_motif_occurrence.sh,cleaned,"Motif, peaks, outputs, and genome generalized."
HOMER_findMotifsGenome.sh,scripts/08_motif_and_annotation/homer_find_motifs_genome.sh,corrected,Fixed region-size variable mismatch.
HOMER_makeTagDirectory.sh,scripts/08_motif_and_annotation/homer_make_tag_directory.sh,cleaned,Generalized paths; removed conda init.
IrreproducibleDiscoveryRate_Analysis.sh,scripts/05_reproducibility/idr_analysis.sh,cleaned,Generalized replicate/pooled inputs and retained threshold extraction logic.
MACS2_callpeak-Broad.sh,scripts/04_peak_calling/macs2_callpeak_broad.sh,cleaned,Generalized ChIP/control/output/genome size.
MACS2_callpeak-Narrow.sh,scripts/04_peak_calling/macs2_callpeak_narrow.sh,cleaned,Generalized ChIP/control/output/genome size.
MD5sum (1).sh,scripts/01_qc/md5sum.sh,cleaned,Generalized input and checksum output.
RankOrderedSuperEnhancer_Analysis(1).sh,scripts/09_regulatory_analysis/rose_super_enhancer_analysis_legacy.sh,legacy,Preserved as a clearly labeled Python-2-era ROSE template.
SAMtools_BamSorter(1).sh,scripts/03_bam_bed_processing/samtools_sort_bam.sh,cleaned,Generalized paths and threads.
SAMtools_BamToBai(1).sh,scripts/03_bam_bed_processing/samtools_index_bam.sh,cleaned,Generalized paths and threads.
SAMtools_DupeRemoverBam(1).sh,scripts/03_bam_bed_processing/remove_duplicate_bed_coordinates.sh,corrected,"Original input was narrowPeak, not BAM; reusable version performs interval-coordinate deduplication."
SAMtools_RandomSubsample_BamSplitter(1).sh,scripts/03_bam_bed_processing/samtools_subsample_bam.sh,review_required,Generalized; samtools -s semantics should be confirmed for installed version.
SAMtools_bamMerger(1).sh,scripts/03_bam_bed_processing/samtools_merge_bams.sh,corrected,Removed incorrect -b use; -b expects a text file listing BAMs.
SRAToolkit_FastqDump(1).sh,scripts/10_utilities/sra_fastq_dump.sh,cleaned,Generalized SRA accession/output directory.
ShuffledLineSplitter(1).sh,scripts/10_utilities/split_shuffled_lines.sh,cleaned,"Generalized source, prefix, and chunk size."
awk_DupeRemoverBed(1).sh,scripts/03_bam_bed_processing/remove_duplicate_bed_coordinates.sh,cleaned,Reusable coordinate-based BED deduplication.
awk_FastaSplitter(1).sh,scripts/10_utilities/split_fasta_records.sh,corrected,Original comment said base-pair chunks but logic split by FASTA records; reusable version explicitly splits records.
deepTools_BigWigScaler(1).sh,scripts/07_signal_and_visualization/deeptools_bigwig_scale.sh,cleaned,Generalized input/output and scale factor.
deepTools_CountsOverBinnedGenome(1).sh,scripts/07_signal_and_visualization/deeptools_multibam_summary_bins.sh,cleaned,Generalized BAM inputs and outputs.
deepTools_Heatmap(1).sh,scripts/07_signal_and_visualization/deeptools_plot_heatmap.sh,corrected,Matrix path uses expected matrix .gz convention rather than .sh.
deepTools_Heatmap-Kmeans_forLoop(1).sh,scripts/07_signal_and_visualization/deeptools_plot_heatmap_kmeans.sh,corrected,Simplified robust k-means loop; removed fragile dynamically generated region labels.
deepTools_PlotProfile(1).sh,scripts/07_signal_and_visualization/deeptools_plot_profile.sh,corrected,Matrix path uses expected .gz convention and plotting options are parameterized.
deepTools_bamCoverage-bw(1).sh,scripts/07_signal_and_visualization/deeptools_bamcoverage.sh,cleaned,"Generalized BAM, output, normalization, and scale factor."
deepTools_computeMatrix_ReferencePoint(1).sh,scripts/07_signal_and_visualization/deeptools_compute_matrix_reference_point.sh,corrected,BigWigs represented as an array and matrix output uses .gz.
deepTools_computeMatrix_ScaleRegions(1).sh,scripts/07_signal_and_visualization/deeptools_compute_matrix_scale_regions.sh,corrected,BigWigs represented as an array and matrix output uses .gz.
grep_MTremover(1).sh,scripts/10_utilities/remove_mito_regions.sh,corrected,Removed stray trailing backslash and generalized mitochondrial prefix.
